tier,start,end,duration,comment,subject
Caregiverlinguistic,25.060,26.300,1.240000000000002,"galletas
",168
Caregiverlinguistic,27.599,28.200,0.6009999999999991,"galleta
",168
Caregiverlinguistic,28.332,28.771,0.43900000000000006,"dos
",168
Caregiverlinguistic,42.106,43.006,0.8999999999999986,"sandwhich
",168
Caregiverlinguistic,43.330,44.350,1.0200000000000031,"pan
",168
Caregiverlinguistic,52.560,53.340,0.7800000000000011,"aguacate
",168
Caregiverlinguistic,55.096,55.763,0.6670000000000016,"aguacate
",168
Caregiverlinguistic,58.400,59.680,1.2800000000000011,"tomate
",168
Caregiverlinguistic,62.380,63.046,0.6659999999999968,"fresa
",168
Caregiverlinguistic,68.393,68.979,0.5859999999999985,"fresa
",168
Caregiverlinguistic,69.803,70.343,0.5400000000000063,"fresa
",168
Caregiverlinguistic,72.809,73.643,0.8340000000000032,"bananas
",168
Caregiverlinguistic,74.183,74.823,0.6399999999999864,"bananas
",168
Caregiverlinguistic,78.969,79.583,0.6140000000000043,"bananas
",168
Caregiverlinguistic,81.803,82.683,0.8800000000000097,"bananas
",168
Caregiverlinguistic,89.643,90.296,0.6530000000000058,"fresa
",168
Caregiverlinguistic,92.843,93.483,0.6400000000000006,"fresas
",168
Caregiverlinguistic,98.943,99.603,0.6599999999999966,"leche
",168
Caregiverlinguistic,100.293,101.033,0.7399999999999949,"leche
",168
Caregiverlinguistic,104.982,105.463,0.48099999999999454,"leche
",168
Caregiverlinguistic,108.100,109.440,1.3400000000000034,"onion
",168
Caregiverlinguistic,110.150,110.909,0.7590000000000003,"tacita
",168
Caregiverlinguistic,111.610,112.590,0.980000000000004,"vacitos
",168
Caregiverlinguistic,115.960,116.972,1.0120000000000005,"jirafa
",168
Caregiverlinguistic,120.203,120.963,0.7599999999999909,"sarten
",168
Caregiverlinguistic,124.083,125.143,1.0600000000000023,"brocoli
",168
Caregiverlinguistic,125.456,126.269,0.8130000000000024,"brocoli
",168
Caregiverlinguistic,128.201,128.607,0.4060000000000059,"brocoli
",168
Caregiverlinguistic,130.640,131.320,0.6800000000000068,"brocoli
",168
Caregiverlinguistic,132.951,133.591,0.6400000000000148,"cuchara
",168
Caregiverlinguistic,137.491,138.291,0.799999999999983,"brocoli
",168
Caregiverlinguistic,141.424,142.731,1.306999999999988,"cucharas
",168
Caregiverlinguistic,144.461,145.767,1.3059999999999832,"platitos
",168
Caregiverlinguistic,146.052,147.053,1.0010000000000048,"lechuga
",168
Caregiverlinguistic,148.619,149.325,0.7059999999999889,"lechuga
",168
Caregiverlinguistic,166.040,167.240,1.200000000000017,"brocoli
",168
Caregiverlinguistic,168.313,169.118,0.8050000000000068,"galletas
",168
Caregiverlinguistic,175.776,176.503,0.7269999999999754,"uno
",168
Caregiverlinguistic,178.713,179.513,0.8000000000000114,"dos
",168
Caregiverlinguistic,181.693,182.413,0.7199999999999989,"cuatro
",168
Caregiverlinguistic,188.533,189.373,0.8400000000000034,"seis
",168
Caregiverlinguistic,189.533,190.193,0.660000000000025,"nueve
",168
Caregiverlinguistic,195.649,196.143,0.4939999999999998,"fresa
",168
Caregiverlinguistic,198.159,198.773,0.6140000000000043,"elote
",168
Caregiverlinguistic,201.693,202.153,0.45999999999997954,"elote
",168
Caregiverlinguistic,204.713,205.533,0.8199999999999932,"elote
",168
Caregiverlinguistic,209.829,210.376,0.546999999999997,"elote
",168
Caregiverlinguistic,216.323,216.943,0.6200000000000045,"panes
",168
Caregiverlinguistic,268.159,269.233,1.0740000000000123,"brocoli
",168
Caregiverlinguistic,291.852,292.432,0.5800000000000409,"sartenes
",168
Caregiverlinguistic,297.353,297.962,0.6089999999999804,"galleta
",168
Caregiverlinguistic,303.750,304.483,0.7330000000000041,"galletas
",168
Caregiverlinguistic,308.834,309.554,0.7199999999999704,"tres
",168
Caregiverlinguistic,311.774,312.914,1.1399999999999864,"cuatro
",168
Caregiverlinguistic,314.560,315.280,0.7199999999999704,"galletas
",168
Caregiverlinguistic,316.535,317.143,0.6079999999999472,"galleta
",168
Caregiverlinguistic,319.246,319.766,0.5200000000000387,"galleta
",168
Caregiverlinguistic,327.370,328.070,0.6999999999999886,"pan
",168
Caregiverlinguistic,332.546,333.160,0.6140000000000327,"leche
",168
Caregiverlinguistic,337.046,337.953,0.9069999999999823,"tacita de leche
",168
